X,Y
-80.17981886949174,953.6154355514838
-42.583378175480455,928.5693004583009
44.586582041097586,903.0017135355448
117.05954779305327,849.812527668112
135.88212349031411,798.9230364020143
133.57771843032847,757.3245745435262
361.34553997360007,710.3483190454798
552.1352566756265,669.8308892281501
606.5700846134519,561.8308157813054
682.9169003159491,440.27996021227364
731.798260240681,409.43000944591665
750.8760233433316,353.77035436616524
681.8611152894171,273.58845914011977
688.4373052599867,211.7295538537299
627.4189279432132,138.7894063105595
558.1623839858337,117.31483222145496
581.1296065683987,104.06319244846848
541.3572749808667,114.74484984846399
536.9498390501058,122.62174042779942
579.6506542316167,143.12969225524637
596.5382510718995,194.0310344130193
632.6423521785068,191.91744903174197
652.7188366274609,224.62994509572496
662.6262627244195,231.0429984758328
696.7390183437253,236.88562176268135
696.5293009050044,260.3963841168774
712.5894775552106,270.2654247386904
726.0089842923259,264.9855773497787
720.6564963634269,326.2744966163312
769.2395052655428,296.43208131767074
784.172950946409,345.1628470065789
737.9365341720645,343.60823524670985
775.0450461749269,353.5328390815619
831.7192378603701,360.6167003446137
908.7033860234859,368.16191763436285
948.5346093408275,399.96213915316997
944.2752134927546,387.7653696387456
927.1868493877806,390.129016775077
941.3732729353611,313.9462209661086
888.6212598193878,210.88464573408174
942.8698802043209,283.99975907380025
1015.7174922678666,260.9460004503086
1049.6549023898242,182.05077329761878
1095.5817867563305,142.87330899395172
1002.8518190399211,160.37666966970988
933.7468998583606,202.58694677119058
887.5497906796787,206.7649157473416
890.6849661464372,183.6457032295035
946.9666171196229,175.34056415120807
951.9052285793342,185.94609513074846
956.3559165530847,130.70868966374871
995.6823262041796,153.44741545724975
1058.6079722291902,191.2322607946631
1105.124028639584,221.05094623790808
1166.8687139904873,212.70902079008863
1133.224110332498,259.35214267334766
1163.8502839854568,312.37713464632634
1199.1081129447587,318.2512306285625
1189.672823747563,295.33521986871165
1254.00673971178,309.3531361207975
1196.023799805141,258.81661205272167
1237.4173823181181,292.54883883078173
1164.4657934120764,313.60578908895485
1219.9487879472424,365.72068392537983
1226.472292153913,399.73880658910394
1242.310069233433,428.3522997610959
1284.984792841703,454.3953564942625
1252.7546756604556,471.2585346568449
1279.5890946916763,498.5213615171821
1253.2801500834828,470.81893304923676
1221.5312040557399,424.7914464994977
1141.563961173288,426.0366827093455
1052.3865847959853,408.0152762218338
969.2965763819088,394.8699459590705
836.6764793283005,380.4838365071241
761.3655275369666,380.97984918319827
747.9778733286254,378.38036273542315
754.454440899814,427.5224476196769
806.9994959832306,429.30225672640245
881.8491719667392,379.47263174327225
810.0204281403222,379.0018038570498
737.9754876362381,402.04275990955176
727.2619916692236,425.38689816871147
643.4324899718322,434.93512031904265
583.5444652834541,374.2707855824493
517.0085236405329,356.68892017872463
465.94516580649105,402.49131070353025
398.1665117642833,403.9798240200391
384.9067253780808,420.29932130428705
397.2070835757018,484.8148735010656
360.26022846642275,487.70914405632277
353.81617263787865,524.3425017865266
265.5259195460301,512.8751805658035
216.33133906768398,496.9922639354646
178.32633243717447,472.57062728101397
214.91744854274344,552.8420278782312
218.82685501726627,599.630013211123
216.42785528551693,535.498224210455
224.34611589635585,517.0695558741248
220.26257805423646,525.289359873141
201.57271431611463,545.8519896057685
145.39995199057978,482.8528022313627
72.35795395726828,427.3108860689728
76.49359226566807,360.17158531955295
29.59886450646518,392.39454984863
40.83685860160738,357.1654687365966
30.689861206328228,376.50962511148964
107.70817006627293,432.16091431517344
121.7462710658989,419.9312921605882
171.4256380495878,374.78769289982836
178.31702138417245,388.23227022383435
167.32367560563677,326.5771485714255
175.39111341062593,297.2823501508659
168.53840456588662,299.58854770452587
157.03436548745344,280.859913591784
183.3741561157939,299.1599186414529
186.632127234737,359.49511453177803
285.510143239476,360.79046269745015
360.2119604525382,347.0984071466264
368.52515211996905,347.36084484579385
344.83781471140276,291.6893658518048
278.55942734477134,347.83969257149886
284.7162020404201,315.7193908830047
333.9644973689102,328.1134719270905
357.2592825708822,332.8405248068258
397.77948284440595,324.4872321377916
